Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Álava;Mayo;Total;149
Álava;Mayo;Hombres;71
Álava;Mayo;Mujeres;78
Álava;Junio;Total;134
Álava;Junio;Hombres;67
Álava;Junio;Mujeres;67
Álava;Julio;Total;170
Álava;Julio;Hombres;84
Álava;Julio;Mujeres;86
Álava;Agosto;Total;163
Álava;Agosto;Hombres;91
Álava;Agosto;Mujeres;72
Álava;Septiembre;Total;190
Álava;Septiembre;Hombres;108
Álava;Septiembre;Mujeres;82
Álava;Octubre;Total;178
Álava;Octubre;Hombres;94
Álava;Octubre;Mujeres;84
Álava;Noviembre;Total;188
Álava;Noviembre;Hombres;100
Álava;Noviembre;Mujeres;88
Álava;Diciembre;Total;216
Álava;Diciembre;Hombres;114
Álava;Diciembre;Mujeres;102
Asturias;Total;Total;2.545
Asturias;Total;Hombres;1.176
Asturias;Total;Mujeres;1.369
Asturias;Enero;Total;265
Asturias;Enero;Hombres;127
Asturias;Enero;Mujeres;138
Asturias;Febrero;Total;189
Asturias;Febrero;Hombres;99
Asturias;Febrero;Mujeres;90
Asturias;Marzo;Total;228
Asturias;Marzo;Hombres;105
Asturias;Marzo;Mujeres;123
Asturias;Abril;Total;246
Asturias;Abril;Hombres;99
Asturias;Abril;Mujeres;147
Asturias;Mayo;Total;184
Asturias;Mayo;Hombres;80
Asturias;Mayo;Mujeres;104
Asturias;Junio;Total;189
Asturias;Junio;Hombres;78
Asturias;Junio;Mujeres;111
Asturias;Julio;Total;150
Asturias;Julio;Hombres;67
Asturias;Julio;Mujeres;83
Asturias;Agosto;Total;178
Asturias;Agosto;Hombres;88
Asturias;Agosto;Mujeres;90
Asturias;Septiembre;Total;151
Asturias;Septiembre;Hombres;69
Asturias;Septiembre;Mujeres;82
Asturias;Octubre;Total;224
Asturias;Octubre;Hombres;108
Asturias;Octubre;Mujeres;116
Asturias;Noviembre;Total;305
Asturias;Noviembre;Hombres;152
Asturias;Noviembre;Mujeres;153
Asturias;Diciembre;Total;236
Asturias;Diciembre;Hombres;104
Asturias;Diciembre;Mujeres;132
Ávila;Total;Total;659
Ávila;Total;Hombres;331
Ávila;Total;Mujeres;328
Ávila;Enero;Total;51
Ávila;Enero;Hombres;28
Ávila;Enero;Mujeres;23
Ávila;Febrero;Total;39
Ávila;Febrero;Hombres;20
Ávila;Febrero;Mujeres;19
Ávila;Marzo;Total;98
Ávila;Marzo;Hombres;56
Ávila;Marzo;Mujeres;42
Ávila;Abril;Total;127
Ávila;Abril;Hombres;52
Ávila;Abril;Mujeres;75
Ávila;Mayo;Total;43
Ávila;Mayo;Hombres;26
Ávila;Mayo;Mujeres;17
Ávila;Junio;Total;44
Ávila;Junio;Hombres;19
Ávila;Junio;Mujeres;25
Ávila;Julio;Total;36
Ávila;Julio;Hombres;20
Ávila;Julio;Mujeres;16
Ávila;Agosto;Total;48
Ávila;Agosto;Hombres;26
Ávila;Agosto;Mujeres;22
Ávila;Septiembre;Total;28
Ávila;Septiembre;Hombres;15
Ávila;Septiembre;Mujeres;13
Ávila;Octubre;Total;41
Ávila;Octubre;Hombres;20
Ávila;Octubre;Mujeres;21
Ávila;Noviembre;Total;41
Ávila;Noviembre;Hombres;18
Ávila;Noviembre;Mujeres;23
Ávila;Diciembre;Total;63
Ávila;Diciembre;Hombres;31
Ávila;Diciembre;Mujeres;32
Badajoz;Total;Total;1.203
Badajoz;Total;Hombres;583
Badajoz;Total;Mujeres;620
Badajoz;Enero;Total;113
Badajoz;Enero;Hombres;48
Badajoz;Enero;Mujeres;65
Badajoz;Febrero;Total;103
Badajoz;Febrero;Hombres;49
Badajoz;Febrero;Mujeres;54
Badajoz;Marzo;Total;104
Badajoz;Marzo;Hombres;52
Badajoz;Marzo;Mujeres;52
Badajoz;Abril;Total;121
Badajoz;Abril;Hombres;59
Badajoz;Abril;Mujeres;62
Badajoz;Mayo;Total;94
Badajoz;Mayo;Hombres;46
Badajoz;Mayo;Mujeres;48
Badajoz;Junio;Total;84
Badajoz;Junio;Hombres;37
Badajoz;Junio;Mujeres;47
Badajoz;Julio;Total;94
Badajoz;Julio;Hombres;45
Badajoz;Julio;Mujeres;49
Badajoz;Agosto;Total;87
Badajoz;Agosto;Hombres;46
Badajoz;Agosto;Mujeres;41
Badajoz;Septiembre;Total;73
Badajoz;Septiembre;Hombres;33
Badajoz;Septiembre;Mujeres;40
Badajoz;Octubre;Total;107
Badajoz;Octubre;Hombres;60
Badajoz;Octubre;Mujeres;47
Badajoz;Noviembre;Total;114
Badajoz;Noviembre;Hombres;58
Badajoz;Noviembre;Mujeres;56
Badajoz;Diciembre;Total;109
Badajoz;Diciembre;Hombres;50
Badajoz;Diciembre;Mujeres;59
Baleares;Total;Total;3.355
Baleares;Total;Hombres;1.709
Baleares;Total;Mujeres;1.646
Baleares;Enero;Total;301
Baleares;Enero;Hombres;148
Baleares;Enero;Mujeres;153
Baleares;Febrero;Total;272
Baleares;Febrero;Hombres;134
Baleares;Febrero;Mujeres;138
